,year,name,percent,gender
100000,1980,Michael,0.037039,boy
100001,1980,Christopher,0.026531,boy
100002,1980,Jason,0.025994,boy
100003,1980,David,0.0226,boy
100004,1980,James,0.021205,boy
100005,1980,Matthew,0.020417,boy
100006,1980,Joshua,0.019454,boy
100007,1980,John,0.019018,boy
100008,1980,Robert,0.018475,boy
100009,1980,Joseph,0.016285,boy
100010,1980,Daniel,0.01612,boy
100011,1980,Brian,0.015495,boy
100012,1980,Justin,0.014436,boy
100013,1980,William,0.013836,boy
100014,1980,Ryan,0.013375,boy
100015,1980,Eric,0.012197,boy
100016,1980,Nicholas,0.011338,boy
100017,1980,Jeremy,0.010739,boy
100018,1980,Andrew,0.010642,boy
100019,1980,Timothy,0.010334,boy
100020,1980,Jonathan,0.010243,boy
100021,1980,Adam,0.010176,boy
100022,1980,Kevin,0.009692,boy
100023,1980,Anthony,0.009495,boy
100024,1980,Thomas,0.009465,boy
100025,1980,Richard,0.008986,boy
100026,1980,Jeffrey,0.008839,boy
100027,1980,Steven,0.008578,boy
100028,1980,Charles,0.008072,boy
100029,1980,Brandon,0.007638,boy
100030,1980,Mark,0.007637,boy
100031,1980,Benjamin,0.007348,boy
100032,1980,Scott,0.007175,boy
100033,1980,Aaron,0.007102,boy
100034,1980,Paul,0.006373,boy
100035,1980,Nathan,0.006003,boy
100036,1980,Travis,0.005808,boy
100037,1980,Patrick,0.005581,boy
100038,1980,Chad,0.005477,boy
100039,1980,Stephen,0.00543,boy
100040,1980,Kenneth,0.005184,boy
100041,1980,Gregory,0.004998,boy
100042,1980,Jacob,0.004593,boy
100043,1980,Dustin,0.004541,boy
100044,1980,Jesse,0.004517,boy
100045,1980,Jose,0.004484,boy
100046,1980,Shawn,0.004153,boy
100047,1980,Sean,0.004096,boy
100048,1980,Bryan,0.004053,boy
100049,1980,Derek,0.003903,boy
100050,1980,Bradley,0.003893,boy
100051,1980,Edward,0.003647,boy
100052,1980,Donald,0.003384,boy
100053,1980,Samuel,0.003241,boy
100054,1980,Peter,0.003209,boy
100055,1980,Keith,0.003177,boy
100056,1980,Kyle,0.00312,boy
100057,1980,Ronald,0.003106,boy
100058,1980,Juan,0.002929,boy
100059,1980,George,0.002856,boy
100060,1980,Jared,0.002803,boy
100061,1980,Douglas,0.002795,boy
100062,1980,Gary,0.002717,boy
100063,1980,Erik,0.002649,boy
100064,1980,Phillip,0.002501,boy
100065,1980,Joel,0.002466,boy
100066,1980,Raymond,0.002464,boy
100067,1980,Corey,0.002395,boy
100068,1980,Shane,0.002356,boy
100069,1980,Larry,0.002301,boy
100070,1980,Marcus,0.002294,boy
100071,1980,Zachary,0.002287,boy
100072,1980,Craig,0.002283,boy
100073,1980,Derrick,0.002231,boy
100074,1980,Todd,0.00223,boy
100075,1980,Jeremiah,0.00221,boy
100076,1980,Antonio,0.0022,boy
100077,1980,Carlos,0.002197,boy
100078,1980,Shaun,0.002118,boy
